SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Tue Jan 27 16:09:14 EST 2026
User: Claudine
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2E3842
Integration Time (usec): 21000 (USB2E3842)
Spectra Averaged: 1 (USB2E3842)
Boxcar Smoothing: 0 (USB2E3842)
Correct for Electrical Dark: No (USB2E3842)
Strobe/Lamp Enabled: No (USB2E3842)
Correct for Detector Non-linearity: No (USB2E3842)
Correct for Stray Light: No (USB2E3842)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
340.23	0.00
340.61	-2.00
340.98	-1.00
341.36	4.00
341.73	-8.00
342.10	-5.00
342.48	-4.00
342.85	-2.00
343.23	3.00
343.60	-2.00
343.97	4.00
344.35	5.00
344.72	4.00
345.10	6.00
345.47	-2.00
345.84	-1.00
346.22	0.00
346.59	-3.00
346.97	0.00
347.34	4.00
347.71	-6.00
348.09	-3.00
348.46	4.00
348.83	-4.00
349.21	3.00
349.58	-6.00
349.95	-3.00
350.33	-2.00
350.70	-1.00
351.07	5.00
351.45	-4.00
351.82	-5.00
352.19	-3.00
352.57	0.00
352.94	-4.00
353.31	-10.00
353.68	5.00
354.06	-4.00
354.43	-2.00
354.80	-4.00
355.18	-1.00
355.55	-1.00
355.92	-7.00
356.29	-7.00
356.67	-1.00
357.04	-9.00
357.41	0.00
357.78	-1.00
358.16	-7.00
358.53	-3.00
358.90	0.00
359.27	10.00
359.64	-6.00
360.02	-3.00
360.39	-3.00
360.76	0.00
361.13	-1.00
361.51	5.00
361.88	-2.00
362.25	-1.00
362.62	-4.00
362.99	-5.00
363.36	-4.00
363.74	-2.00
364.11	7.00
364.48	-8.00
364.85	4.00
365.22	4.00
365.59	-3.00
365.97	6.00
366.34	-10.00
366.71	1.00
367.08	0.00
367.45	-3.00
367.82	7.00
368.19	0.00
368.56	-2.00
368.94	-2.00
369.31	-1.00
369.68	-4.00
370.05	3.00
370.42	2.00
370.79	0.00
371.16	-10.00
371.53	0.00
371.90	2.00
372.27	0.00
